Name,City,District,Address,Latitude,Longitude,Type,Languages,AgeRange,Rating,Students,Fees,Curriculum,Website,Phone,Specialties
"Négy Évszak Magánóvoda Budapest V.VI.VII.VIII.IX.XIII. Preschool,Kindergarten",Budapest,V,"Budapest, Nagy Ignác u. 2, 1055",47.5077085,19.0518953,Kindergarten,Hungarian,3-6,4.7,,Private (Fee-paying),Hungarian National Curriculum (NAT),http://maganovodabelvaros.hu/,06 20 266 6077,Arts programs
Happy Kids Nemzetközi Óvoda,Budapest,XII,"Budapest, Fodor u. 36, 1124",47.4948706,19.0032213,Kindergarten,Hungarian,5-7,5,,Public (Free),IB (International Baccalaureate),https://happykids.hu/,(06 1) 356 2440,
Erzsébetvárosi Dob Óvoda,Budapest,VII,"Budapest, Dob u. 95, 1077",47.503891,19.0715134,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),https://dobovoda.hu/,(06 1) 342 5133,
Bástya Óvoda,Budapest,V,"Budapest, Bástya u. 4-6, 1056",47.4888632,19.0590054,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum,http://www.bastyaovoda.hu/,(06 1) 317 7536,
Játékvár Óvoda,Budapest,VI,"Budapest, Lendvay u. 24, 1062",47.5145418,19.0748525,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://www.jatekvarovoda.hu/,(06 1) 353 1605,
Alsóhegy utcai Óvoda,Budapest,XI,"Budapest, Alsóhegy u. 13, 1118",47.4865808,19.0312729,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),https://szentimrevarosiovi.ujbuda.hu/,(06 1) 385 2557,
Balaton Óvoda,Budapest,V,"Budapest, Balaton u. 10, 1055",47.5114093,19.0492971,Kindergarten,Hungarian,3-6,5,,Public (Free),Hungarian National Curriculum (NAT),https://www.balatonovi.hu/,(06 1) 312 1415,
Tesz-Vesz Óvoda,Budapest,XI,"Budapest, Zólyomi út 20-22, 1112",47.48017590000001,19.0243734,Kindergarten,Hungarian,3-6,5,,Public (Free),IB (International Baccalaureate),http://teszveszovi.ujbuda.hu/,(06 1) 248 1805,
Belvárosi Játékóvoda,Budapest,V,"Budapest, Hercegprímás u. 17, 1054",47.5026373,19.0528847,Kindergarten,Hungarian,1-3,5,,Public (Free),Hungarian National Curriculum,http://www.jatekovoda.hu/,06 20 564 5554,
A TE OVID - Magánóvoda,Budapest,XIV,"Budapest, Kőszeg u. 21, 1144",47.50715,19.1389521,Kindergarten,Hungarian,3-6,4.8,,Private (Fee-paying),IB (International Baccalaureate),http://www.ateovid.com/,06 70 337 4611,
